CompoundID	SMILES
100481	CC(C)C(Nc1ccc(Br)cn1)n2cncn2
101297	Cc1cc(C)c(C)c(C2C(=C(N)OC3=C2C(=O)CC(C)(C)C3)C#N)c1C
100482	CCCC(Nc1ccc(Br)cn1)n2cncn2
101298	Cc1cc(C)c(C)c(C=C(C#N)C(=S)N)c1C
100483	CCCC(Nc1ccccn1)n2cncn2
101299	CCOC(=O)C(=Cc1c(C)c(C)cc(C)c1C)C#N
100485	Brc1ccc(NCn2cncn2)nc1
101301	Cc1cc(C)c(C)c(C=C(C#N)C(=O)N)c1C
100490	CC(Nc1ccc(Cl)cn1)n2cncn2
101304	Cc1ccc(C=C(C#N)C(=S)N)c(C)c1
100494	CCCC(Nc1ccc(Cl)cn1)n2cncn2
101307	Cc1n[nH]c2OC(=C(C#N)C(c12)c3c(C)cc(C)cc3C)N
102189	COc1cc2C(C)NCCc2cc1O
103449	CC(=NNc1ccccc1)c2ccc(cc2)[N+](=O)[O-]
102191	CC(=O)NC(Cc1ccccc1)Cc2ccccc2
103456	CCOc1ccc(cc1OC)C2C(=NNc3ccccc3)c4ccccc4C2=NNc5ccccc5
102215	CC1CC(=NNC(=S)N)C(C)CN1C
103459	O=C(C(c1ccccc1)c2ccccc2)C3C(=O)c4ccccc4C3=O
102251	CC1CC(O)(C(C)CN1C)c2ccccc2
103465	[Na]OC1=C(C(=O)c2ccccc12)c3ccccn3
102254	CC1C(N(C)CCC1(O)c2ccccc2)c3ccccc3
103467	[Na]OC1=C(C(=O)c2ccccc12)c3ccncc3
102263	CCC1(CC(C)N(C)CC1C)OC(=O)c2ccccc2
103468	[O-][N+](=O)C1(Cl)C(=O)c2ccccc2C1=O
102265	COC(=O)C1(O)CC(C)N(C)CC1C
103480	CCOc1ccc(NC(=O)CC2(C(=O)c3ccccc3C2=O)c4ccccc4)cc1
102266	CC1CN(C)CCC1(O)C(=O)c2ccccc2
103499	Cc1ccc(cc1)C2C(=NNc3ccccc3)c4ccccc4C2=NNc5ccccc5
102269	OC1(CCN(Cc2ccccc2)CC1C(=O)c3ccccc3)c4ccccc4
103500	N(N=C1C(C(=NNc2ccccc2)c3ccccc13)c4ccccc4)c5ccccc5
102298	CN(CCC(=O)c1ccccc1)CCC(=O)c2ccccc2
103511	COC(=O)N(c1ccccc1)P(=O)(Oc2ccccc2)Oc3ccccc3
100495	Cc1ccc(NCn2cncn2)cc1[N+](=O)[O-]
101310	Cc1n[nH]c2OC(=C(C#N)C(c12)c3ccc(C)cc3C)N
100504	CC(Nc1ccc(Br)cn1)n2cncn2
101321	CCOC1=C(C)OC(=C(C#N)C1c2ccc(OC)cc2)N
100514	COc1ccc(cc1)N(Cc2ccc(Br)cc2)C(=O)c3ccc(cc3)[N+](=O)[O-]
101327	COc1ccc(C=C(C#N)C(=S)N)cc1
100515	[O-][N+](=O)c1ccc(NCn2cncn2)cc1
101333	COc1ccc(cc1)C2C(=C(N)OC3=C2C(=O)CC(C)(C)C3)C#N
100519	N#Cc1ccccc1NCn2cncn2
101336	COc1ccc(C=C(C#N)C(=O)N)cc1
100526	Brc1ccc(CNc2ccccn2)cc1
101341	COc1ccc(cc1)C2C(=C(N)Oc3[nH]nc(C)c23)C#N
100529	[O-][N+](=O)c1cccc(c1)C(=O)N(Cc2ccc(Br)cc2)c3cccc(Cl)c3
101342	Cc1ccc(C2C(=C(N)SC(=C2C#N)N)C#N)c(C)c1
100533	[O-][N+](=O)c1cccc(c1)C(=O)N(Cc2ccc(Br)cc2)c3c(Cl)cccc3Cl
101346	COc1ccc(cc1)C2C3CCCC=C3C(=C(N)C2(C#N)C#N)C#N
100534	Clc1ccc(cc1)C(=O)N(Cc2ccc(Br)cc2)c3c(Cl)cccc3Cl
101357	CCOC(=O)C1=C(C)OC(=C(C#N)C1c2ccc(C)cc2C)N
100536	Clc1ccc(cc1)C(=O)N(Cn2cncn2)c3ccccc3C#N
101361	Cc1cc(C)c(C=C(C#N)C#N)c(C)c1C=C(C#N)C#N
102300	CC(=O)NC(C)(CC(=O)c1ccccc1)c2ccccc2
103520	CC(C)(C)c1ccc(OP(=O)(Oc2ccc(cc2)C(C)(C)C)Oc3ccc(cc3)C(C)(C)C)cc1
102313	CC1CC2(NC(=O)NC2=O)C(C)CN1C
103522	Cc1cc(C)cc(OP(=O)(Oc2cc(C)cc(C)c2)Oc3cc(C)cc(C)c3)c1
102357	Cc1cc(C)n(n1)C(=O)CCCCl
103524	Brc1ccc(OP(=O)(Oc2ccc(Br)cc2)Oc3ccc(Br)cc3)cc1
102382	Cc1cc(Cl)n(n1)c2ccc(cc2)[N+](=O)[O-]
103553	CCOC(=O)N(c1ccccc1)P2(=S)OCCC(C)O2
102411	Cc1[nH]c2ccc(C)cc2c1CCN
103568	COC(=O)N(c1ccccc1)P2(=S)OCCO2
102419	NN=C(c1ccccc1)c2ccccc2
103570	CC(=NOC(=O)Nc1ccc(cc1)[N+](=O)[O-])C
102470	Cc1nn(c(Cl)c1Br)c2ccc(cc2)[N+](=O)[O-]
103633	O=C(Nc1ccccc1)Nn2cnnc2
102700	CC(=O)Nc1ccc(NCCC#N)cc1
103652	CCOc1ccc(NP(=O)(Oc2ccccc2)Oc3ccccc3)cc1
102701	CC(=O)Nc1ccc(cc1)N(CCC#N)N=O
103665	COc1ccc(NC(=O)ON=C(C)C)cc1
102704	OC(=O)C1=NN(C(=O)C1=CC=CC=Cc2c(O)n(nc2C(=O)O)c3ccccc3)c4ccccc4
103710	CCOC(=O)C(=NNc1ccccc1O)C#N
103713	Cc1cc(N=Nc2ccc(O)cc2)[nH]n1
104640	CC(NC(=O)Nc1ccccc1)c2ccc(C)cc2
103796	Cc1cc(C)c(C=NO)c(C)c1Cc2c(C)cc(C)c(C=NO)c2C
104644	CC(=NNc1ccc(cc1)[N+](=O)[O-])c2ccc3ccccc3c2O
103812	CCc1cc(CC)c(CO)c(CC)c1CO
104649	CC(=NNc1ccccc1)c2ccc3ccccc3c2O
103813	CCc1cc(CC)c(C#[N+][O-])c(CC)c1C#[N+][O-]
104691	Cc1ccc(Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])c(O)c1
103822	CC(=O)c1c(C)cc(C)c(C(=O)O)c1C
104692	Cc1ccc(Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])cc1
103843	COc1ccc(NS(=O)(=O)CC=C)cc1
104703	[O-][N+](=O)c1ccc(Nc2nccs2)c(c1)[N+](=O)[O-]
103862	CSc1sc(SC)c(CN2C(=O)c3ccccc3C2=O)c1CN4C(=O)c5ccccc5C4=O
104704	CC(=O)c1cccc(Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])c1
103870	CN(C)Cc1cc(C=NC2CCCCC2)c(S)s1
104705	COc1ccc(Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])cc1
103883	[O-][N+](=O)c1ccc(Sc2cccs2)c(c1)[N+](=O)[O-]
104749	CCOC(=O)c1ccc(N=Cc2cccc(c2)[N+](=O)[O-])cc1
103887	[O-][N+](=O)c1cccc(c1)C(CC(=O)c2ccccc2)Sc3cccs3
104754	Cc1ccc(N=Cc2cccc(c2)[N+](=O)[O-])nc1
105474	CC(=NNC(=O)c1cc2ccccc2cc1O)c3ccc(Cl)cc3
106483	COC(C)(C)CCCC(C)C(=O)OC(C)C
105486	CC(=NNC(=O)c1ccc(cc1)[N+](=O)[O-])c2ccco2
106490	CCN(CC)CC#CC(CO)NCc1ccccc1
105489	CC(=NNC(=O)c1ccc(cc1)[N+](=O)[O-])c2ccccc2
106522	CC(=O)OCC1OC(C(OC(=O)C)C1OC(=O)C)n2ccc(=O)[nH]c2=O
105501	COc1ccc(C(=NNC(=O)Nc2ccccc2)C)c(OC)c1
106552	CCOC(=O)c1ccc(CN(C(=O)c2ccco2)C(C)(C)C)cc1
105508	O=C(NN=C1CCCC1)c2ccccc2
106557	COc1ccc2[nH]cc(CCN3C(=O)c4ccccc4C3=O)c2c1
105539	Cc1ccc(Nc2nc(OC(C(F)(F)F)C(F)(F)F)nc(OC(C(F)(F)F)C(F)(F)F)n2)cc1
106562	COc1ccc(cc1)C(=O)NC(C)Cc2c[nH]c3ccccc23
105544	Cc1cc(C)nc(Nc2nc(OC(C(F)(F)F)C(F)(F)F)nc(OC(C(F)(F)F)C(F)(F)F)n2)n1
106569	COc1ccc2[nH]cc(CCNC(=O)c3ccccc3Cl)c2c1
105551	COc1ccc(C(=NNc2ccccc2Br)C)c(OC)c1
106570	CCOC(=O)C(=Cc1ccccc1)NC(=O)c2ccccc2
